Circuit Size,Iterations,Width Distribution
81,4,"[28, 19, 24, 18, 22, 21, 24, 21, 21, 22, 20, 21, 21, 21, 23, 22, 26, 22, 27, 19, 21, 22, 19, 20, 21, 23, 23, 20, 21, 19]"
81,3,"[20, 27, 24, 18, 19, 19, 26, 20, 24, 20, 21, 23, 26, 20, 26, 25, 19, 22, 26, 24, 20, 21, 23, 23, 21, 27, 22, 27, 17, 24]"
81,3,"[23, 21, 24, 26, 18, 21, 19, 22, 20, 18, 25, 27, 22, 20, 32, 22, 27, 20, 22, 22, 20, 21, 22, 18, 22, 22, 25, 22, 23, 22]"
90,90,"[20, 20, 19, 21, 20, 20, 20, 20, 20, 20, 20, 20, 22, 20, 21, 20, 20, 20, 20, 20, 20, 19, 21, 20, 20, 20, 21, 20, 20, 20]"
90,45,"[20, 20, 20, 21, 21, 20, 20, 21, 20, 20, 21, 20, 20, 22, 20, 21, 20, 20, 20, 22, 20, 20, 21, 20, 20, 20, 20, 20, 20, 21]"
90,22,"[22, 21, 20, 22, 20, 25, 21, 21, 20, 22, 21, 21, 21, 22, 20, 22, 22, 20, 22, 22, 23, 21, 22, 21, 20, 20, 21, 21, 20, 23]"
90,4,"[24, 23, 22, 23, 24, 23, 24, 24, 22, 23, 23, 31, 22, 23, 21, 23, 21, 21, 24, 24, 23, 29, 30, 28, 29, 24, 23, 26, 20, 24]"
90,3,"[29, 24, 28, 26, 22, 31, 25, 25, 31, 29, 23, 32, 23, 24, 27, 27, 26, 23, 29, 23, 22, 24, 24, 24, 25, 22, 25, 21, 24, 27]"
90,3,"[23, 21, 24, 20, 24, 27, 27, 20, 21, 22, 23, 22, 20, 27, 26, 21, 25, 22, 23, 23, 25, 24, 25, 21, 25, 21, 25, 33, 21, 22]"
100,100,"[23, 22, 21, 21, 21, 22, 23, 22, 23, 22, 22, 22, 22, 23, 22, 22, 22, 22, 22, 22, 21, 22, 23, 22, 22, 21, 23, 21, 22, 23]"
100,50,"[23, 22, 23, 23, 22, 22, 22, 22, 23, 23, 22, 22, 23, 22, 24, 22, 23, 23, 22, 22, 22, 23, 23, 23, 22, 22, 22, 23, 23, 22]"
100,25,"[21, 22, 25, 23, 22, 23, 23, 22, 23, 23, 23, 24, 22, 23, 22, 23, 23, 24, 22, 22, 21, 23, 23, 22, 22, 22, 23, 24, 24, 24]"
100,4,"[32, 22, 23, 23, 32, 23, 28, 23, 24, 30, 24, 27, 25, 24, 25, 24, 24, 22, 27, 25, 27, 27, 25, 24, 28, 25, 24, 25, 27, 27]"
100,3,"[30, 28, 29, 23, 29, 29, 25, 25, 28, 23, 30, 29, 26, 29, 30, 24, 24, 28, 28, 25, 29, 26, 31, 26, 32, 31, 26, 30, 31, 25]"
100,3,"[27, 27, 27, 27, 25, 24, 28, 24, 27, 32, 23, 26, 29, 32, 30, 33, 26, 26, 24, 28, 21, 31, 26, 27, 26, 22, 24, 23, 27, 30]"
